pedido_id,cliente_id,endereco_id,cupom_id,data_pedido,data,ano_mes,ano,mes,semana_iso,dia_semana_num,dia_semana_nome,hora_pedido,subtotal,desconto,total,forma_pagamento,troco_para,usou_cupom,status,foi_cancelado,foi_entregue,nota_avaliacao,nps_categoria,min_espera_producao,min_tempo_producao,min_tempo_entrega,min_ciclo_total,recebido_em,em_producao_em,saiu_entrega_em,entregue_em,cancelado_em,qtd_itens
11,5,6,,2026-03-13 19:03:09,2026-03-13,2026-03,2026,3,11,6,Friday,19,123.47,0.0,123.47,pix,,0,entregue,0,1,,sem_avaliacao,7,17,22,46,2026-03-13 19:03:09,2026-03-13 19:10:09,2026-03-13 19:27:09,2026-03-13 19:49:09,,2
12,49,67,,2025-12-31 19:16:42,2025-12-31,2025-12,2025,12,53,4,Wednesday,19,69.4,0.0,69.4,pix,,0,entregue,0,1,5.0,promotor,6,20,32,58,2025-12-31 19:16:42,2025-12-31 19:22:42,2025-12-31 19:42:42,2025-12-31 20:14:42,,2
13,52,71,,2025-12-29 17:34:14,2025-12-29,2025-12,2025,12,53,2,Monday,17,136.47,0.0,136.47,pix,,0,entregue,0,1,1.0,detrator,7,19,17,43,2025-12-29 17:34:14,2025-12-29 17:41:14,2025-12-29 18:00:14,2025-12-29 18:17:14,,3
14,54,73,,2026-05-07 19:01:48,2026-05-07,2026-05,2026,5,19,5,Thursday,19,120.9,0.0,120.9,cartao_debito,,0,entregue,0,1,4.0,promotor,7,16,39,62,2026-05-07 19:01:48,2026-05-07 19:08:48,2026-05-07 19:24:48,2026-05-07 20:03:48,,2
15,11,15,,2026-01-24 17:31:18,2026-01-24,2026-01,2026,1,4,7,Saturday,17,54.57,0.0,54.57,pix,,0,entregue,0,1,5.0,promotor,9,16,29,54,2026-01-24 17:31:18,2026-01-24 17:40:18,2026-01-24 17:56:18,2026-01-24 18:25:18,,1
16,32,45,1.0,2026-03-22 18:03:13,2026-03-22,2026-03,2026,3,12,1,Sunday,18,65.9,6.59,59.31,cartao_debito,,1,entregue,0,1,3.0,neutro,5,24,29,58,2026-03-22 18:03:13,2026-03-22 18:08:13,2026-03-22 18:32:13,2026-03-22 19:01:13,,2
17,60,80,,2026-04-09 15:45:17,2026-04-09,2026-04,2026,4,15,5,Thursday,15,56.9,0.0,56.9,cartao_credito,,0,entregue,0,1,,sem_avaliacao,10,30,22,62,2026-04-09 15:45:17,2026-04-09 15:55:17,2026-04-09 16:25:17,2026-04-09 16:47:17,,1
18,27,37,,2026-01-26 22:32:17,2026-01-26,2026-01,2026,1,5,2,Monday,22,122.3,0.0,122.3,cartao_credito,,0,cancelado,1,0,,sem_avaliacao,,,,,2026-01-26 22:32:17,,,,2026-01-26 22:43:17,3
19,3,4,1.0,2026-01-22 20:45:58,2026-01-22,2026-01,2026,1,4,5,Thursday,20,56.9,5.69,51.21,dinheiro,101.21,1,entregue,0,1,,sem_avaliacao,9,19,30,58,2026-01-22 20:45:58,2026-01-22 20:54:58,2026-01-22 21:13:58,2026-01-22 21:43:58,,1
20,10,14,,2025-12-06 18:16:21,2025-12-06,2025-12,2025,12,49,7,Saturday,18,123.8,0.0,123.8,pix,,0,entregue,0,1,3.0,neutro,9,17,42,68,2025-12-06 18:16:21,2025-12-06 18:25:21,2025-12-06 18:42:21,2025-12-06 19:24:21,,3
21,11,15,,2026-04-05 15:01:02,2026-04-05,2026-04,2026,4,14,1,Sunday,15,70.9,0.0,70.9,pix,,0,entregue,0,1,,sem_avaliacao,3,24,26,53,2026-04-05 15:01:02,2026-04-05 15:04:02,2026-04-05 15:28:02,2026-04-05 15:54:02,,2
22,10,14,,2026-01-05 18:16:29,2026-01-05,2026-01,2026,1,2,2,Monday,18,62.9,0.0,62.9,pix,,0,entregue,0,1,4.0,promotor,3,29,43,75,2026-01-05 18:16:29,2026-01-05 18:19:29,2026-01-05 18:48:29,2026-01-05 19:31:29,,1
23,31,44,,2025-12-12 13:36:22,2025-12-12,2025-12,2025,12,50,6,Friday,13,53.9,0.0,53.9,cartao_credito,,0,entregue,0,1,,sem_avaliacao,7,15,41,63,2025-12-12 13:36:22,2025-12-12 13:43:22,2025-12-12 13:58:22,2025-12-12 14:39:22,,1
24,15,20,,2026-03-25 12:16:43,2026-03-25,2026-03,2026,3,13,4,Wednesday,12,60.9,0.0,60.9,cartao_credito,,0,entregue,0,1,5.0,promotor,5,18,43,66,2026-03-25 12:16:43,2026-03-25 12:21:43,2026-03-25 12:39:43,2026-03-25 13:22:43,,2
25,33,46,,2026-05-17 14:10:16,2026-05-17,2026-05,2026,5,20,1,Sunday,14,120.8,0.0,120.8,cartao_debito,,0,em_producao,0,0,,sem_avaliacao,10,,,,2026-05-17 14:10:16,2026-05-17 14:20:16,,,,3
26,44,61,,2026-04-15 20:37:24,2026-04-15,2026-04,2026,4,16,4,Wednesday,20,117.8,0.0,117.8,cartao_credito,,0,cancelado,1,0,,sem_avaliacao,,,,,2026-04-15 20:37:24,,,,2026-04-15 20:42:24,3
27,7,10,,2026-01-06 21:08:24,2026-01-06,2026-01,2026,1,2,3,Tuesday,21,55.4,0.0,55.4,cartao_credito,,0,entregue,0,1,4.0,promotor,9,19,43,71,2026-01-06 21:08:24,2026-01-06 21:17:24,2026-01-06 21:36:24,2026-01-06 22:19:24,,1
28,44,61,,2026-01-31 19:41:22,2026-01-31,2026-01,2026,1,5,7,Saturday,19,104.8,0.0,104.8,pix,,0,entregue,0,1,,sem_avaliacao,7,21,45,73,2026-01-31 19:41:22,2026-01-31 19:48:22,2026-01-31 20:09:22,2026-01-31 20:54:22,,2
29,36,51,,2025-12-31 19:52:55,2025-12-31,2025-12,2025,12,53,4,Wednesday,19,65.9,0.0,65.9,cartao_debito,,0,entregue,0,1,,sem_avaliacao,5,15,23,43,2025-12-31 19:52:55,2025-12-31 19:57:55,2025-12-31 20:12:55,2025-12-31 20:35:55,,2
30,38,53,,2026-01-23 01:16:03,2026-01-23,2026-01,2026,1,4,6,Friday,1,84.9,0.0,84.9,pix,,0,entregue,0,1,4.0,promotor,9,18,38,65,2026-01-23 01:16:03,2026-01-23 01:25:03,2026-01-23 01:43:03,2026-01-23 02:21:03,,2
31,31,44,,2026-05-05 17:43:06,2026-05-05,2026-05,2026,5,19,3,Tuesday,17,123.13,0.0,123.13,pix,,0,entregue,0,1,,sem_avaliacao,10,17,43,70,2026-05-05 17:43:06,2026-05-05 17:53:06,2026-05-05 18:10:06,2026-05-05 18:53:06,,2
32,8,11,4.0,2026-05-06 19:56:49,2026-05-06,2026-05,2026,5,19,4,Wednesday,19,62.4,12.48,49.92,cartao_debito,,1,entregue,0,1,5.0,promotor,6,28,29,63,2026-05-06 19:56:49,2026-05-06 20:02:49,2026-05-06 20:30:49,2026-05-06 20:59:49,,2
33,7,10,,2026-04-15 20:51:08,2026-04-15,2026-04,2026,4,16,4,Wednesday,20,119.13,0.0,119.13,pix,,0,entregue,0,1,4.0,promotor,8,18,28,54,2026-04-15 20:51:08,2026-04-15 20:59:08,2026-04-15 21:17:08,2026-04-15 21:45:08,,3
34,28,39,,2026-05-04 19:49:52,2026-05-04,2026-05,2026,5,19,2,Monday,19,98.8,0.0,98.8,pix,,0,entregue,0,1,5.0,promotor,3,23,15,41,2026-05-04 19:49:52,2026-05-04 19:52:52,2026-05-04 20:15:52,2026-05-04 20:30:52,,2
35,30,42,,2026-01-26 10:19:46,2026-01-26,2026-01,2026,1,5,2,Monday,10,124.8,0.0,124.8,pix,,0,entregue,0,1,5.0,promotor,4,16,19,39,2026-01-26 10:19:46,2026-01-26 10:23:46,2026-01-26 10:39:46,2026-01-26 10:58:46,,2
36,34,48,,2026-03-31 15:14:25,2026-03-31,2026-03,2026,3,14,3,Tuesday,15,68.9,0.0,68.9,pix,,0,recebido,0,0,,sem_avaliacao,,,,,2026-03-31 15:14:25,,,,,2
37,46,63,,2026-01-05 18:53:42,2026-01-05,2026-01,2026,1,2,2,Monday,18,81.9,0.0,81.9,cartao_debito,,0,entregue,0,1,,sem_avaliacao,4,27,42,73,2026-01-05 18:53:42,2026-01-05 18:57:42,2026-01-05 19:24:42,2026-01-05 20:06:42,,2
38,11,15,,2026-04-26 22:29:53,2026-04-26,2026-04,2026,4,17,1,Sunday,22,73.9,0.0,73.9,cartao_debito,,0,entregue,0,1,5.0,promotor,8,17,28,53,2026-04-26 22:29:53,2026-04-26 22:37:53,2026-04-26 22:54:53,2026-04-26 23:22:53,,2
39,13,17,,2026-05-16 20:22:46,2026-05-16,2026-05,2026,5,20,7,Saturday,20,61.9,0.0,61.9,pix,,0,saiu_para_entrega,0,0,,sem_avaliacao,5,22,,,2026-05-16 20:22:46,2026-05-16 20:27:46,2026-05-16 20:49:46,,,1
40,37,52,4.0,2026-04-18 19:43:59,2026-04-18,2026-04,2026,4,16,7,Saturday,19,78.4,15.68,62.72,pix,,1,cancelado,1,0,,sem_avaliacao,,,,,2026-04-18 19:43:59,,,,2026-04-18 19:52:59,2
41,5,6,2.0,2026-03-26 21:54:05,2026-03-26,2026-03,2026,3,13,5,Thursday,21,145.63,21.84,123.79,cartao_credito,,1,entregue,0,1,5.0,promotor,9,29,33,71,2026-03-26 21:54:05,2026-03-26 22:03:05,2026-03-26 22:32:05,2026-03-26 23:05:05,,3
42,34,48,,2026-03-19 10:23:58,2026-03-19,2026-03,2026,3,12,5,Thursday,10,119.8,0.0,119.8,cartao_credito,,0,entregue,0,1,,sem_avaliacao,9,25,36,70,2026-03-19 10:23:58,2026-03-19 10:32:58,2026-03-19 10:57:58,2026-03-19 11:33:58,,2
43,22,31,,2025-12-07 19:09:58,2025-12-07,2025-12,2025,12,49,1,Sunday,19,54.57,0.0,54.57,cartao_debito,,0,entregue,0,1,5.0,promotor,9,19,34,62,2025-12-07 19:09:58,2025-12-07 19:18:58,2025-12-07 19:37:58,2025-12-07 20:11:58,,1
44,2,3,,2026-01-30 15:13:21,2026-01-30,2026-01,2026,1,5,6,Friday,15,57.9,0.0,57.9,dinheiro,77.9,0,saiu_para_entrega,0,0,,sem_avaliacao,10,21,,,2026-01-30 15:13:21,2026-01-30 15:23:21,2026-01-30 15:44:21,,,1
45,57,76,,2026-04-19 19:38:24,2026-04-19,2026-04,2026,4,16,1,Sunday,19,61.9,0.0,61.9,cartao_credito,,0,entregue,0,1,5.0,promotor,5,20,38,63,2026-04-19 19:38:24,2026-04-19 19:43:24,2026-04-19 20:03:24,2026-04-19 20:41:24,,1
46,13,17,,2026-01-31 20:36:28,2026-01-31,2026-01,2026,1,5,7,Saturday,20,194.37,0.0,194.37,cartao_credito,,0,entregue,0,1,,sem_avaliacao,7,27,31,65,2026-01-31 20:36:28,2026-01-31 20:43:28,2026-01-31 21:10:28,2026-01-31 21:41:28,,4
47,15,20,,2026-04-29 18:22:59,2026-04-29,2026-04,2026,4,18,4,Wednesday,18,41.9,0.0,41.9,pix,,0,entregue,0,1,5.0,promotor,3,27,31,61,2026-04-29 18:22:59,2026-04-29 18:25:59,2026-04-29 18:52:59,2026-04-29 19:23:59,,1
48,19,28,4.0,2026-05-18 21:44:53,2026-05-18,2026-05,2026,5,21,2,Monday,21,62.9,12.58,50.32,pix,,1,entregue,0,1,3.0,neutro,10,29,34,73,2026-05-18 21:44:53,2026-05-18 21:54:53,2026-05-18 22:23:53,2026-05-18 22:57:53,,1
49,41,58,,2026-04-24 19:04:07,2026-04-24,2026-04,2026,4,17,6,Friday,19,129.8,0.0,129.8,cartao_credito,,0,cancelado,1,0,,sem_avaliacao,,,,,2026-04-24 19:04:07,,,,2026-04-24 19:14:07,3
50,33,46,,2026-04-23 23:35:01,2026-04-23,2026-04,2026,4,17,5,Thursday,23,40.4,0.0,40.4,pix,,0,entregue,0,1,,sem_avaliacao,10,16,35,61,2026-04-23 23:35:01,2026-04-23 23:45:01,2026-04-24 00:01:01,2026-04-24 00:36:01,,1
51,48,66,,2026-04-17 16:02:22,2026-04-17,2026-04,2026,4,16,6,Friday,16,79.4,0.0,79.4,cartao_credito,,0,entregue,0,1,4.0,promotor,5,29,37,71,2026-04-17 16:02:22,2026-04-17 16:07:22,2026-04-17 16:36:22,2026-04-17 17:13:22,,2
52,35,49,,2026-02-21 14:48:41,2026-02-21,2026-02,2026,2,8,7,Saturday,14,68.23,0.0,68.23,cartao_credito,,0,entregue,0,1,,sem_avaliacao,8,16,42,66,2026-02-21 14:48:41,2026-02-21 14:56:41,2026-02-21 15:12:41,2026-02-21 15:54:41,,2
53,34,48,4.0,2026-01-12 21:46:27,2026-01-12,2026-01,2026,1,3,2,Monday,21,80.9,16.18,64.72,pix,,1,entregue,0,1,4.0,promotor,5,24,25,54,2026-01-12 21:46:27,2026-01-12 21:51:27,2026-01-12 22:15:27,2026-01-12 22:40:27,,2
54,43,60,,2026-03-25 17:32:51,2026-03-25,2026-03,2026,3,13,4,Wednesday,17,118.8,0.0,118.8,cartao_debito,,0,entregue,0,1,5.0,promotor,5,15,19,39,2026-03-25 17:32:51,2026-03-25 17:37:51,2026-03-25 17:52:51,2026-03-25 18:11:51,,3
55,34,48,,2026-01-31 17:41:17,2026-01-31,2026-01,2026,1,5,7,Saturday,17,66.9,0.0,66.9,pix,,0,entregue,0,1,3.0,neutro,4,15,38,57,2026-01-31 17:41:17,2026-01-31 17:45:17,2026-01-31 18:00:17,2026-01-31 18:38:17,,2
56,12,16,,2026-05-15 20:05:51,2026-05-15,2026-05,2026,5,20,6,Friday,20,52.9,0.0,52.9,pix,,0,entregue,0,1,3.0,neutro,8,26,37,71,2026-05-15 20:05:51,2026-05-15 20:13:51,2026-05-15 20:39:51,2026-05-15 21:16:51,,1
57,9,12,,2026-01-06 20:01:23,2026-01-06,2026-01,2026,1,2,3,Tuesday,20,54.9,0.0,54.9,dinheiro,104.9,0,entregue,0,1,,sem_avaliacao,8,29,40,77,2026-01-06 20:01:23,2026-01-06 20:09:23,2026-01-06 20:38:23,2026-01-06 21:18:23,,1
58,5,6,,2025-12-15 23:41:04,2025-12-15,2025-12,2025,12,51,2,Monday,23,110.8,0.0,110.8,cartao_debito,,0,entregue,0,1,,sem_avaliacao,8,19,43,70,2025-12-15 23:41:04,2025-12-15 23:49:04,2025-12-16 00:08:04,2025-12-16 00:51:04,,3
59,55,74,,2025-12-06 13:40:35,2025-12-06,2025-12,2025,12,49,7,Saturday,13,143.8,0.0,143.8,cartao_credito,,0,entregue,0,1,4.0,promotor,7,17,31,55,2025-12-06 13:40:35,2025-12-06 13:47:35,2025-12-06 14:04:35,2025-12-06 14:35:35,,3
60,41,58,,2025-11-27 18:40:34,2025-11-27,2025-11,2025,11,48,5,Thursday,18,110.8,0.0,110.8,cartao_debito,,0,entregue,0,1,,sem_avaliacao,7,30,22,59,2025-11-27 18:40:34,2025-11-27 18:47:34,2025-11-27 19:17:34,2025-11-27 19:39:34,,3
61,56,75,,2026-01-27 23:08:48,2026-01-27,2026-01,2026,1,5,3,Tuesday,23,57.9,0.0,57.9,cartao_credito,,0,entregue,0,1,5.0,promotor,4,25,22,51,2026-01-27 23:08:48,2026-01-27 23:12:48,2026-01-27 23:37:48,2026-01-27 23:59:48,,1
62,21,30,4.0,2026-03-13 20:12:48,2026-03-13,2026-03,2026,3,11,6,Friday,20,50.9,10.18,40.72,pix,,1,entregue,0,1,5.0,promotor,10,30,43,83,2026-03-13 20:12:48,2026-03-13 20:22:48,2026-03-13 20:52:48,2026-03-13 21:35:48,,1
63,35,49,1.0,2025-11-23 21:27:08,2025-11-23,2025-11,2025,11,47,1,Sunday,21,129.8,12.98,116.82,cartao_credito,,1,cancelado,1,0,,sem_avaliacao,,,,,2025-11-23 21:27:08,,,,2025-11-23 21:29:08,2
64,26,36,,2026-02-01 21:21:35,2026-02-01,2026-02,2026,2,5,1,Sunday,21,41.9,0.0,41.9,cartao_credito,,0,em_producao,0,0,,sem_avaliacao,5,,,,2026-02-01 21:21:35,2026-02-01 21:26:35,,,,1
65,10,14,,2026-03-19 21:08:20,2026-03-19,2026-03,2026,3,12,5,Thursday,21,130.8,0.0,130.8,dinheiro,150.8,0,em_producao,0,0,,sem_avaliacao,8,,,,2026-03-19 21:08:20,2026-03-19 21:16:20,,,,3
66,51,70,,2026-05-15 20:44:40,2026-05-15,2026-05,2026,5,20,6,Friday,20,176.7,0.0,176.7,cartao_credito,,0,entregue,0,1,,sem_avaliacao,10,23,45,78,2026-05-15 20:44:40,2026-05-15 20:54:40,2026-05-15 21:17:40,2026-05-15 22:02:40,,4
67,59,79,,2026-02-21 21:47:46,2026-02-21,2026-02,2026,2,8,7,Saturday,21,111.47,0.0,111.47,pix,,0,entregue,0,1,4.0,promotor,5,21,32,58,2026-02-21 21:47:46,2026-02-21 21:52:46,2026-02-21 22:13:46,2026-02-21 22:45:46,,3
68,46,63,,2026-02-24 15:22:35,2026-02-24,2026-02,2026,2,9,3,Tuesday,15,57.23,0.0,57.23,cartao_credito,,0,em_producao,0,0,,sem_avaliacao,7,,,,2026-02-24 15:22:35,2026-02-24 15:29:35,,,,2
69,17,24,2.0,2026-04-15 18:12:52,2026-04-15,2026-04,2026,4,16,4,Wednesday,18,99.8,14.97,84.83,cartao_credito,,1,entregue,0,1,5.0,promotor,7,19,18,44,2026-04-15 18:12:52,2026-04-15 18:19:52,2026-04-15 18:38:52,2026-04-15 18:56:52,,2
70,42,59,,2026-05-11 21:30:41,2026-05-11,2026-05,2026,5,20,2,Monday,21,160.7,0.0,160.7,cartao_credito,,0,entregue,0,1,,sem_avaliacao,7,25,24,56,2026-05-11 21:30:41,2026-05-11 21:37:41,2026-05-11 22:02:41,2026-05-11 22:26:41,,3
71,1,1,,2026-01-18 19:06:59,2026-01-18,2026-01,2026,1,3,1,Sunday,19,74.9,0.0,74.9,cartao_credito,,0,recebido,0,0,,sem_avaliacao,,,,,2026-01-18 19:06:59,,,,,2
72,46,63,,2025-12-27 01:21:50,2025-12-27,2025-12,2025,12,52,7,Saturday,1,130.47,0.0,130.47,cartao_debito,,0,entregue,0,1,,sem_avaliacao,6,20,34,60,2025-12-27 01:21:50,2025-12-27 01:27:50,2025-12-27 01:47:50,2025-12-27 02:21:50,,3
73,20,29,,2026-03-14 20:00:16,2026-03-14,2026-03,2026,3,11,7,Saturday,20,63.9,0.0,63.9,pix,,0,entregue,0,1,4.0,promotor,6,16,36,58,2026-03-14 20:00:16,2026-03-14 20:06:16,2026-03-14 20:22:16,2026-03-14 20:58:16,,2
74,10,14,,2026-02-17 20:38:23,2026-02-17,2026-02,2026,2,8,3,Tuesday,20,105.3,0.0,105.3,pix,,0,entregue,0,1,3.0,neutro,10,21,39,70,2026-02-17 20:38:23,2026-02-17 20:48:23,2026-02-17 21:09:23,2026-02-17 21:48:23,,2
75,34,48,,2026-02-15 09:13:45,2026-02-15,2026-02,2026,2,7,1,Sunday,9,63.9,0.0,63.9,pix,,0,entregue,0,1,4.0,promotor,4,29,40,73,2026-02-15 09:13:45,2026-02-15 09:17:45,2026-02-15 09:46:45,2026-02-15 10:26:45,,1
76,14,18,,2026-03-13 06:27:22,2026-03-13,2026-03,2026,3,11,6,Friday,6,62.9,0.0,62.9,cartao_credito,,0,entregue,0,1,,sem_avaliacao,3,17,44,64,2026-03-13 06:27:22,2026-03-13 06:30:22,2026-03-13 06:47:22,2026-03-13 07:31:22,,1
77,29,40,,2026-05-09 22:24:24,2026-05-09,2026-05,2026,5,19,7,Saturday,22,83.57,0.0,83.57,pix,,0,entregue,0,1,4.0,promotor,5,26,18,49,2026-05-09 22:24:24,2026-05-09 22:29:24,2026-05-09 22:55:24,2026-05-09 23:13:24,,2
78,13,17,,2026-05-10 20:07:02,2026-05-10,2026-05,2026,5,19,1,Sunday,20,65.9,0.0,65.9,pix,,0,entregue,0,1,5.0,promotor,9,15,22,46,2026-05-10 20:07:02,2026-05-10 20:16:02,2026-05-10 20:31:02,2026-05-10 20:53:02,,2
79,33,46,,2026-01-16 13:58:46,2026-01-16,2026-01,2026,1,3,6,Friday,13,173.7,0.0,173.7,cartao_debito,,0,entregue,0,1,5.0,promotor,8,22,24,54,2026-01-16 13:58:46,2026-01-16 14:06:46,2026-01-16 14:28:46,2026-01-16 14:52:46,,4
80,46,63,4.0,2025-12-19 21:58:03,2025-12-19,2025-12,2025,12,51,6,Friday,21,55.57,11.11,44.46,pix,,1,entregue,0,1,5.0,promotor,9,19,27,55,2025-12-19 21:58:03,2025-12-19 22:07:03,2025-12-19 22:26:03,2025-12-19 22:53:03,,1
81,52,71,,2026-04-18 19:42:35,2026-04-18,2026-04,2026,4,16,7,Saturday,19,63.9,0.0,63.9,dinheiro,73.9,0,entregue,0,1,4.0,promotor,6,25,24,55,2026-04-18 19:42:35,2026-04-18 19:48:35,2026-04-18 20:13:35,2026-04-18 20:37:35,,1
82,19,28,,2026-02-03 18:41:22,2026-02-03,2026-02,2026,2,6,3,Tuesday,18,170.03,0.0,170.03,pix,,0,entregue,0,1,,sem_avaliacao,8,30,29,67,2026-02-03 18:41:22,2026-02-03 18:49:22,2026-02-03 19:19:22,2026-02-03 19:48:22,,4
83,32,45,,2026-03-08 19:43:21,2026-03-08,2026-03,2026,3,10,1,Sunday,19,134.8,0.0,134.8,pix,,0,entregue,0,1,,sem_avaliacao,10,30,29,69,2026-03-08 19:43:21,2026-03-08 19:53:21,2026-03-08 20:23:21,2026-03-08 20:52:21,,3
84,15,20,,2025-12-04 20:00:13,2025-12-04,2025-12,2025,12,49,5,Thursday,20,174.37,0.0,174.37,cartao_credito,,0,entregue,0,1,,sem_avaliacao,8,16,34,58,2025-12-04 20:00:13,2025-12-04 20:08:13,2025-12-04 20:24:13,2025-12-04 20:58:13,,3
85,7,10,,2026-05-18 08:09:15,2026-05-18,2026-05,2026,5,21,2,Monday,8,58.9,0.0,58.9,cartao_debito,,0,entregue,0,1,,sem_avaliacao,7,26,23,56,2026-05-18 08:09:15,2026-05-18 08:16:15,2026-05-18 08:42:15,2026-05-18 09:05:15,,2
86,6,8,,2026-02-08 17:35:30,2026-02-08,2026-02,2026,2,6,1,Sunday,17,75.57,0.0,75.57,cartao_credito,,0,entregue,0,1,4.0,promotor,3,20,17,40,2026-02-08 17:35:30,2026-02-08 17:38:30,2026-02-08 17:58:30,2026-02-08 18:15:30,,2
87,60,80,,2026-05-05 15:13:37,2026-05-05,2026-05,2026,5,19,3,Tuesday,15,61.9,0.0,61.9,pix,,0,entregue,0,1,2.0,detrator,9,17,24,50,2026-05-05 15:13:37,2026-05-05 15:22:37,2026-05-05 15:39:37,2026-05-05 16:03:37,,1
88,7,10,5.0,2026-02-14 13:04:21,2026-02-14,2026-02,2026,2,7,7,Saturday,13,141.8,5.0,136.8,cartao_credito,,1,entregue,0,1,4.0,promotor,9,25,15,49,2026-02-14 13:04:21,2026-02-14 13:13:21,2026-02-14 13:38:21,2026-02-14 13:53:21,,2
89,18,26,,2025-12-21 17:50:40,2025-12-21,2025-12,2025,12,51,1,Sunday,17,58.9,0.0,58.9,pix,,0,entregue,0,1,4.0,promotor,9,25,26,60,2025-12-21 17:50:40,2025-12-21 17:59:40,2025-12-21 18:24:40,2025-12-21 18:50:40,,2
90,23,33,,2026-03-09 08:38:50,2026-03-09,2026-03,2026,3,11,2,Monday,8,130.8,0.0,130.8,cartao_credito,,0,entregue,0,1,5.0,promotor,9,15,24,48,2026-03-09 08:38:50,2026-03-09 08:47:50,2026-03-09 09:02:50,2026-03-09 09:26:50,,3
91,16,22,,2026-04-10 19:38:39,2026-04-10,2026-04,2026,4,15,6,Friday,19,53.9,0.0,53.9,pix,,0,entregue,0,1,4.0,promotor,4,19,24,47,2026-04-10 19:38:39,2026-04-10 19:42:39,2026-04-10 20:01:39,2026-04-10 20:25:39,,1
92,21,30,,2025-12-26 22:20:18,2025-12-26,2025-12,2025,12,52,6,Friday,22,132.13,0.0,132.13,pix,,0,entregue,0,1,5.0,promotor,10,22,25,57,2025-12-26 22:20:18,2025-12-26 22:30:18,2025-12-26 22:52:18,2025-12-26 23:17:18,,2
93,19,28,,2026-05-01 20:52:54,2026-05-01,2026-05,2026,5,18,6,Friday,20,56.9,0.0,56.9,cartao_credito,,0,entregue,0,1,5.0,promotor,9,30,19,58,2026-05-01 20:52:54,2026-05-01 21:01:54,2026-05-01 21:31:54,2026-05-01 21:50:54,,1
